Table 1
"NYS Board of Elections President and Vice-President Election Returns Nov. 8, 2016",,,,,,,,,,,"NYS Board of Elections President and Vice-President Election Returns Nov. 8, 2016",,,,,,,,,,,,,,,"NYS Board of Elections President and Vice-President Election Returns Nov. 8, 2016",,,,,,,,,,,,,,,"NYS Board of Elections President and Vice-President Election Returns Nov. 8, 2016",,,,,,,,,,,,,,,,
Revised: 8-17-2017,,,,,,,,,,,Revised: 8-17-2017,,,,,,,,,,,,,,,Revised: 8-17-2017,,,,,,,,,,,,,,,Revised: 8-17-2017,,,,,,,,,,,,,,,,
County,Clinton   Kaine,Trump    Pence,Trump    Pence,Stein   Baraka,Clinton   Kaine,Johnson  Weld,Clinton   Kaine,Johnson  Weld,,,County,Arantxa Aranja,Neer R. Asherie,Mark Blickley,Robert L. Buchanan,Gary S. Canns,Willie Carter,Darrell Castle,Ariel Cohen,William J. Connolly,"""Rocky"" Rogue De La Fuente",Jason Fried,Zoltan Istvan Gyurko,,,County,Ben Hartnell,Tom Hoefling,Michael Frederick Ingbar,Lynn Kahn,Chris Keniston,Gloria La Riva,Jeffrey Mackler,Michael A. Maturen,Evan McMullin,Monica Moorehead,Jason Mutford,Clifton Roberts,,,County,Marshall Schoenke,Ryan Alan Scott,Emidio Soltysik,Tony Valdivia,J. J. Vogel-Walcutt,Esther Welsh,Barbara Whitaker,Robert M. Wolff,Blank,Void,Scattering,Total,,,,
,DEM,REP,CON,GRN,WOR,IND,WEP,LBT,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,
 Niagara,"33,927","44,289","7,672","1,287","1,228","2,059",404,806,,, Niagara,0,0,0,0,0,0,8,0,0,0,0,0,,, Niagara,0,1,0,0,2,0,0,0,118,0,0,0,,, Niagara,0,0,0,0,0,0,0,0,"1,891",0,601,"94,293",,,,
 Oneida,"32,217","46,282","5,155","1,235","1,070","2,682",456,"1,072",,, Oneida,0,0,0,1,0,0,17,0,0,2,0,1,,, Oneida,0,4,0,0,0,1,0,5,158,0,0,0,,, Oneida,0,0,0,0,0,0,0,0,864,39,651,"91,912",,,,
 Onondaga,"107,049","73,700","9,949","3,185","3,781","5,853","1,507","2,671",,, Onondaga,0,0,0,3,1,3,51,0,8,0,0,1,,, Onondaga,4,2,0,2,1,4,0,33,624,4,2,0,,, Onondaga,0,0,1,0,0,0,0,1,"4,424",0,0,"212,864",,,,
 Ontario,"21,062","22,788","3,241",852,799,"1,721",372,765,,, Ontario,0,0,0,0,0,6,11,0,0,0,0,1,,, Ontario,0,5,0,12,2,5,0,5,173,0,9,0,,, Ontario,0,0,0,0,0,0,0,0,415,18,429,"52,691",,,,
 Orange,"65,532","68,509","8,136","2,154","1,997","2,687",749,"1,180",,, Orange,0,0,0,3,0,1,22,0,0,2,0,0,,, Orange,0,3,0,0,2,1,0,9,137,0,0,3,,, Orange,0,0,0,0,0,0,0,0,"4,521",124,894,"156,666",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Clinton   Kaine,Trump    Pence,Trump    Pence,Stein   Baraka,Clinton   Kaine,Johnson  Weld,Clinton   Kaine,Johnson  Weld,,,County,Arantxa Aranja,Neer R. Asherie,Mark Blickley,Robert L. Buchanan,Gary S. Canns,Willie Carter,Darrell Castle,Ariel Cohen,William J. Connolly,"""Rocky"" Rogue De La Fuente",Jason Fried,Zoltan Istvan Gyurko,,,County,Ben Hartnell,Tom Hoefling,Michael Frederick Ingbar,Lynn Kahn,Chris Keniston,Gloria La Riva,Jeffrey Mackler,Michael A. Maturen,Evan McMullin,Monica Moorehead,Jason Mutford,Clifton Roberts,,,County,Marshall Schoenke,Ryan Alan Scott,Emidio Soltysik,Tony Valdivia,J. J. Vogel-Walcutt,Esther Welsh,Barbara Whitaker,Robert M. Wolff,Blank,Void,Scattering,Total,,,,
,DEM,REP,CON,GRN,WOR,IND,WEP,LBT,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,
 Orleans,"4,239","9,700","1,236",184,150,470,81,210,,, Orleans,0,0,0,0,0,0,4,0,0,1,0,0,,, Orleans,1,0,0,0,0,0,0,2,23,0,0,0,,, Orleans,0,0,0,0,0,0,0,0,182,7,79,"16,569",,,,
 Oswego,"16,186","24,794","2,894",705,663,"1,554",246,583,,, Oswego,0,0,0,0,1,0,21,1,1,0,0,0,,, Oswego,0,2,0,1,1,3,0,17,112,0,1,1,,, Oswego,0,0,1,0,0,0,0,0,343,24,392,"48,547",,,,
 Otsego,"9,809","12,156","1,152",520,476,723,166,343,,, Otsego,0,0,0,0,0,0,7,0,0,0,0,0,,, Otsego,0,2,0,0,1,0,0,1,58,0,0,0,,, Otsego,0,0,1,0,0,0,0,0,221,48,253,"25,937",,,,
 Putnam,"18,324","23,905","3,119",590,806,751,236,420,,, Putnam,0,0,0,0,0,0,3,0,0,0,0,0,,, Putnam,1,0,0,0,2,0,0,0,52,0,0,2,,, Putnam,0,0,0,0,0,0,0,0,302,0,352,"48,865",,,,
 Rensselaer,"30,506","28,591","5,135","1,355","1,576","1,959",635,985,,, Rensselaer,0,0,0,0,0,0,13,0,1,1,1,0,,, Rensselaer,0,0,1,4,4,5,0,4,119,0,11,5,,, Rensselaer,0,0,0,0,0,0,0,0,558,15,651,"72,135",,,,
 Rockland,"67,098","54,873","6,038","1,348","1,640","1,529",604,755,,, Rockland,0,0,0,0,0,0,12,0,0,2,0,0,,, Rockland,0,0,0,0,0,2,0,22,155,0,0,1,,, Rockland,0,0,0,0,0,0,0,0,"2,865",97,"1,008","138,049",,,,
 Saratoga,"48,503","48,584","5,991","1,825","1,653","3,354",757,"1,762",,, Saratoga,0,0,0,0,0,0,38,0,0,0,0,0,,, Saratoga,1,1,0,4,5,1,0,10,330,0,9,0,,, Saratoga,0,0,0,0,0,0,0,0,"1,024",0,"1,266","115,118",,,,
 Schenectady,"32,072","25,203","3,750","1,127","1,165","1,770",510,854,,, Schenectady,0,0,0,1,0,2,17,1,1,0,0,1,,, Schenectady,1,4,0,1,1,0,0,4,132,0,12,5,,, Schenectady,0,0,0,0,0,0,0,0,583,42,646,"67,905",,,,
 Schoharie,"3,966","7,705","1,126",274,191,382,83,149,,, Schoharie,0,0,0,4,0,0,8,0,0,0,0,0,,, Schoharie,0,0,0,0,1,0,0,6,37,0,0,0,,, Schoharie,0,0,0,0,0,0,0,0,111,4,118,"14,165",,,,
 Schuyler,"2,817","4,517",533,216,205,206,69,103,,, Schuyler,0,0,0,0,0,0,3,0,0,0,0,0,,, Schuyler,0,0,0,0,2,0,0,0,18,1,0,0,,, Schuyler,0,0,0,0,0,0,0,0,59,2,82,"8,833",,,,
 Seneca,"5,350","6,488",748,259,235,464,112,174,,, Seneca,0,0,0,0,0,0,3,0,0,0,0,0,,, Seneca,0,0,0,0,0,0,0,3,35,0,0,0,,, Seneca,0,0,0,0,0,0,0,0,104,6,109,"14,090",,,,
 St. Lawrence,"15,749","18,236","1,706",807,534,"1,034",205,411,,, St. Lawrence,0,0,0,0,0,0,3,0,0,0,0,0,,, St. Lawrence,0,0,0,0,0,0,0,0,76,0,0,0,,, St. Lawrence,0,0,0,0,0,0,0,0,474,0,397,"39,632",,,,
 Steuben,"11,982","24,743","2,088",585,389,"1,167",155,499,,, Steuben,0,0,0,0,0,0,6,0,0,0,0,0,,, Steuben,0,1,0,1,1,0,0,3,91,0,0,0,,, Steuben,0,0,0,0,0,0,0,0,309,23,291,"42,334",,,,
 Suffolk,"292,720","314,639","35,931","8,099","8,001","9,169","3,230","4,747",,, Suffolk,0,0,0,1,0,0,74,0,0,2,0,6,,, Suffolk,2,6,0,0,5,5,0,11,509,0,0,7,,, Suffolk,0,0,3,0,0,0,0,0,"5,028",208,"4,087","686,490",,,,
 Sullivan,"11,913","13,929","2,002",504,498,538,157,196,,, Sullivan,0,0,0,0,0,0,4,0,0,0,0,0,,, Sullivan,0,0,0,0,1,0,0,1,18,0,0,0,,, Sullivan,0,0,0,0,0,0,0,0,502,27,194,"30,484",,,,
 Tioga,"7,123","12,206","1,054",337,299,623,104,307,,, Tioga,0,0,0,0,0,0,3,0,0,0,0,0,,, Tioga,0,0,0,0,0,1,0,0,50,0,0,0,,, Tioga,0,0,0,0,0,0,0,0,247,9,192,"22,555",,,,
 Tompkins,"26,093","9,370","1,001","1,380","2,358",855,439,538,,, Tompkins,0,0,0,1,0,0,8,0,1,2,0,2,,, Tompkins,0,1,0,0,1,3,0,3,140,1,0,0,,, Tompkins,0,0,0,2,0,0,0,0,338,23,479,"43,039",,,,
 Ulster,"40,674","30,288","4,951","2,147","3,192","1,570",731,822,,, Ulster,0,0,0,0,0,0,22,0,1,0,0,1,,, Ulster,1,0,0,0,4,1,1,6,112,0,3,6,,, Ulster,0,0,2,0,0,0,0,0,889,844,755,"87,023",,,,
 Warren,"12,461","14,317","1,434",863,420,854,210,401,,, Warren,0,0,0,0,0,0,11,0,0,0,0,0,,, Warren,0,0,0,2,0,0,0,4,64,0,3,0,,, Warren,0,0,0,0,0,0,0,0,291,17,364,"31,716",,,,
